id,sequence,domain,response_type,task,choices,response,some_entails_all,similar_experiment,enc_task,task_content,enc_responses,rt,intermediate_responses
ADDYTQDMBL,1,syllogistic,multiple-choice,All;soldiers;editors/Some;florists;editors,All;soldiers;florists|All;florists;soldiers|Some;soldiers;florists|Some;florists;soldiers|No;soldiers;florists|No;florists;soldiers|Some not;soldiers;florists|Some not;florists;soldiers|NVC,No;soldiers;florists|No;florists;soldiers,False,False,AI3,"['soldiers', 'editors', 'florists']","['eac', 'eca']",48208,"[{'state': ['eac'], 'rt': 38754}, {'state': ['eac', 'eca'], 'rt': 43946}, {'state': ['nvc'], 'rt': 44830}, {'state': ['eca'], 'rt': 46327}, {'state': ['eac', 'eca'], 'rt': 46866}]"
ADDYTQDMBL,2,syllogistic,multiple-choice,Some not;porters;judges/All;brewers;porters,All;judges;brewers|All;brewers;judges|Some;judges;brewers|Some;brewers;judges|No;judges;brewers|No;brewers;judges|Some not;judges;brewers|Some not;brewers;judges|NVC,No;judges;brewers|No;brewers;judges|Some not;brewers;judges,False,False,OA2,"['judges', 'porters', 'brewers']","['eac', 'eca', 'oca']",44078,"[{'state': ['eac'], 'rt': 29978}, {'state': ['eac', 'eca'], 'rt': 31244}, {'state': ['eac', 'eca', 'oca'], 'rt': 42232}]"
ADDYTQDMBL,3,syllogistic,multiple-choice,All;carpenters;linguists/All;divers;linguists,All;carpenters;divers|All;divers;carpenters|Some;carpenters;divers|Some;divers;carpenters|No;carpenters;divers|No;divers;carpenters|Some not;carpenters;divers|Some not;divers;carpenters|NVC,No;carpenters;divers|No;divers;carpenters,False,False,AA3,"['carpenters', 'linguists', 'divers']","['eac', 'eca']",16921,"[{'state': ['eca'], 'rt': 12294}, {'state': ['eac', 'eca'], 'rt': 15708}]"
ADDYTQDMBL,4,syllogistic,multiple-choice,Some;agents;secretaries/Some;brokers;agents,All;secretaries;brokers|All;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|NVC,Some not;secretaries;brokers|Some not;brokers;secretaries,False,False,II2,"['secretaries', 'agents', 'brokers']","['oac', 'oca']",16176,"[{'state': ['oca'], 'rt': 13678}, {'state': ['oac', 'oca'], 'rt': 14550}]"
ADDYTQDMBL,5,syllogistic,multiple-choice,All;skaters;poets/Some not;miners;skaters,All;poets;miners|All;miners;poets|Some;poets;miners|Some;miners;poets|No;poets;miners|No;miners;poets|Some not;poets;miners|Some not;miners;poets|NVC,NVC,False,False,AO2,"['poets', 'skaters', 'miners']",['nvc'],38106,"[{'state': ['eca'], 'rt': 12422}, {'state': ['eca', 'oca'], 'rt': 26595}, {'state': ['eca'], 'rt': 30381}, {'state': ['nvc'], 'rt': 37387}]"
ADDYTQDMBL,6,syllogistic,multiple-choice,Some not;architects;boxers/Some;architects;runners,All;boxers;runners|All;runners;boxers|Some;boxers;runners|Some;runners;boxers|No;boxers;runners|No;runners;boxers|Some not;boxers;runners|Some not;runners;boxers|NVC,Some not;boxers;runners|Some not;runners;boxers,False,False,OI4,"['boxers', 'architects', 'runners']","['oac', 'oca']",9010,"[{'state': ['oac'], 'rt': 7577}, {'state': ['oac', 'oca'], 'rt': 8333}]"
ADDYTQDMBL,7,syllogistic,multiple-choice,Some not;farmers;assistants/Some not;assistants;scholars,All;farmers;scholars|All;scholars;farmers|Some;farmers;scholars|Some;scholars;farmers|No;farmers;scholars|No;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers|NVC,Some not;farmers;scholars|Some not;scholars;farmers,False,False,OO1,"['farmers', 'assistants', 'scholars']","['oac', 'oca']",3494,"[{'state': ['oac'], 'rt': 2109}, {'state': ['oac', 'oca'], 'rt': 2469}]"
ADDYTQDMBL,8,syllogistic,multiple-choice,No;judges;athletes/Some not;drillers;athletes,All;judges;drillers|All;drillers;judges|Some;judges;drillers|Some;drillers;judges|No;judges;drillers|No;drillers;judges|Some not;judges;drillers|Some not;drillers;judges|NVC,Some;judges;drillers|Some;drillers;judges,False,False,EO3,"['judges', 'athletes', 'drillers']","['iac', 'ica']",31773,"[{'state': ['iac'], 'rt': 25094}, {'state': ['iac', 'ica'], 'rt': 28294}]"
ADDYTQDMBL,9,syllogistic,multiple-choice,Some;planners;surfers/No;planners;artists,All;surfers;artists|All;artists;surfers|Some;surfers;artists|Some;artists;surfers|No;surfers;artists|No;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|NVC,No;surfers;artists|No;artists;surfers,False,False,IE4,"['surfers', 'planners', 'artists']","['eac', 'eca']",30570,"[{'state': ['eac'], 'rt': 29597}, {'state': ['eac', 'eca'], 'rt': 29914}]"
ADDYTQDMBL,10,syllogistic,multiple-choice,No;golfers;teachers/Some not;bankers;golfers,All;teachers;bankers|All;bankers;teachers|Some;teachers;bankers|Some;bankers;teachers|No;teachers;bankers|No;bankers;teachers|Some not;teachers;bankers|Some not;bankers;teachers|NVC,NVC,False,False,EO2,"['teachers', 'golfers', 'bankers']",['nvc'],17152,"[{'state': ['nvc'], 'rt': 16727}]"
