id,sequence,domain,response_type,task,choices,response,some_entails_all,similar_experiment,enc_task,task_content,enc_responses,rt,intermediate_responses,crt
AISSCUALUU,1,syllogistic,multiple-choice,All;managers;waiters/All;brokers;waiters,All;managers;brokers|All;brokers;managers|Some;managers;brokers|Some;brokers;managers|No;managers;brokers|No;brokers;managers|Some not;managers;brokers|Some not;brokers;managers|NVC,No;managers;brokers|No;brokers;managers,False,False,AA3,"['managers', 'waiters', 'brokers']","['eac', 'eca']",99219,"[{'state': ['eca'], 'rt': 51782}, {'state': ['eac', 'eca'], 'rt': 75831}]",0.14285714285714285
AISSCUALUU,2,syllogistic,multiple-choice,All;tellers;doctors/All;tellers;climbers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|No;doctors;climbers|No;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|NVC,No;doctors;climbers|No;climbers;doctors,False,False,AA4,"['doctors', 'tellers', 'climbers']","['eac', 'eca']",79405,"[{'state': ['eca'], 'rt': 64822}, {'state': ['eac', 'eca'], 'rt': 72038}]",0.14285714285714285
AISSCUALUU,3,syllogistic,multiple-choice,All;actors;nurses/Some not;drillers;actors,All;nurses;drillers|All;drillers;nurses|Some;nurses;drillers|Some;drillers;nurses|No;nurses;drillers|No;drillers;nurses|Some not;nurses;drillers|Some not;drillers;nurses|NVC,NVC,False,False,AO2,"['nurses', 'actors', 'drillers']",['nvc'],122027,"[{'state': ['nvc'], 'rt': 120787}]",0.14285714285714285
AISSCUALUU,4,syllogistic,multiple-choice,Some not;packers;tutors/Some;butchers;tutors,All;packers;butchers|All;butchers;packers|Some;packers;butchers|Some;butchers;packers|No;packers;butchers|No;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|NVC,Some;packers;butchers|Some;butchers;packers,False,False,OI3,"['packers', 'tutors', 'butchers']","['iac', 'ica']",48092,"[{'state': ['iac'], 'rt': 34192}, {'state': ['iac', 'ica'], 'rt': 42018}]",0.14285714285714285
AISSCUALUU,5,syllogistic,multiple-choice,All;teachers;painters/Some;plumbers;painters,All;teachers;plumbers|All;plumbers;teachers|Some;teachers;plumbers|Some;plumbers;teachers|No;teachers;plumbers|No;plumbers;teachers|Some not;teachers;plumbers|Some not;plumbers;teachers|NVC,Some;plumbers;teachers|No;teachers;plumbers,False,False,AI3,"['teachers', 'painters', 'plumbers']","['ica', 'eac']",75448,"[{'state': ['ica'], 'rt': 18112}, {'state': ['ica', 'oca'], 'rt': 48994}, {'state': ['ica'], 'rt': 64572}, {'state': ['ica', 'eac'], 'rt': 67878}]",0.14285714285714285
AISSCUALUU,6,syllogistic,multiple-choice,Some;architects;boxers/Some not;architects;runners,All;boxers;runners|All;runners;boxers|Some;boxers;runners|Some;runners;boxers|No;boxers;runners|No;runners;boxers|Some not;boxers;runners|Some not;runners;boxers|NVC,Some;boxers;runners|Some;runners;boxers|Some not;boxers;runners|Some not;runners;boxers,False,False,IO4,"['boxers', 'architects', 'runners']","['iac', 'ica', 'oac', 'oca']",85334,"[{'state': ['oca'], 'rt': 34106}, {'state': ['ica', 'oca'], 'rt': 62982}, {'state': ['iac', 'ica', 'oca'], 'rt': 64183}, {'state': ['iac', 'oca'], 'rt': 64885}, {'state': ['iac', 'ica', 'oca'], 'rt': 72617}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 79098}]",0.14285714285714285
AISSCUALUU,7,syllogistic,multiple-choice,Some;athletes;lawyers/No;athletes;hunters,All;lawyers;hunters|All;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|NVC,Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers,False,False,IE4,"['lawyers', 'athletes', 'hunters']","['iac', 'ica', 'oac', 'oca']",84542,"[{'state': ['iac'], 'rt': 62650}, {'state': ['iac', 'ica'], 'rt': 66170}, {'state': ['iac', 'ica', 'oac'], 'rt': 75794}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 82600}]",0.14285714285714285
AISSCUALUU,8,syllogistic,multiple-choice,No;farmers;jugglers/No;gamblers;jugglers,All;farmers;gamblers|All;gamblers;farmers|Some;farmers;gamblers|Some;gamblers;farmers|No;farmers;gamblers|No;gamblers;farmers|Some not;farmers;gamblers|Some not;gamblers;farmers|NVC,Some;farmers;gamblers|Some;gamblers;farmers|Some not;farmers;gamblers|Some not;gamblers;farmers,False,False,EE3,"['farmers', 'jugglers', 'gamblers']","['iac', 'ica', 'oac', 'oca']",46614,"[{'state': ['aac'], 'rt': 7692}, {'state': [], 'rt': 9239}, {'state': ['ica'], 'rt': 24122}, {'state': ['iac', 'ica'], 'rt': 26757}, {'state': ['iac', 'ica', 'oac'], 'rt': 40897}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 42179}]",0.14285714285714285
AISSCUALUU,9,syllogistic,multiple-choice,Some not;boxers;actuaries/Some not;actuaries;opticians,All;boxers;opticians|All;opticians;boxers|Some;boxers;opticians|Some;opticians;boxers|No;boxers;opticians|No;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers|NVC,Some;boxers;opticians|Some;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers,False,False,OO1,"['boxers', 'actuaries', 'opticians']","['iac', 'ica', 'oac', 'oca']",39389,"[{'state': ['iac'], 'rt': 23083}, {'state': ['iac', 'ica'], 'rt': 26989}, {'state': ['iac', 'ica', 'oac'], 'rt': 30397}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 36399}]",0.14285714285714285
AISSCUALUU,10,syllogistic,multiple-choice,Some not;tellers;carpenters/No;tellers;artists,All;carpenters;artists|All;artists;carpenters|Some;carpenters;artists|Some;artists;carpenters|No;carpenters;artists|No;artists;carpenters|Some not;carpenters;artists|Some not;artists;carpenters|NVC,Some;artists;carpenters|Some not;artists;carpenters,False,False,OE4,"['carpenters', 'tellers', 'artists']","['ica', 'oca']",104360,"[{'state': ['oac'], 'rt': 17904}, {'state': [], 'rt': 23063}, {'state': ['ica'], 'rt': 45055}, {'state': ['ica', 'oca'], 'rt': 85765}]",0.14285714285714285
