id,sequence,domain,response_type,task,choices,response,some_entails_all,similar_experiment,enc_task,task_content,enc_responses,rt,intermediate_responses,crt
ADMKQPEWAO,1,syllogistic,multiple-choice,All;carpenters;linguists/No;linguists;divers,All;carpenters;divers|All;divers;carpenters|Some;carpenters;divers|Some;divers;carpenters|No;carpenters;divers|No;divers;carpenters|Some not;carpenters;divers|Some not;divers;carpenters|NVC,No;carpenters;divers|No;divers;carpenters,False,False,AE1,"['carpenters', 'linguists', 'divers']","['eac', 'eca']",90874,"[{'state': ['eac'], 'rt': 17336}, {'state': ['aca', 'eac'], 'rt': 52330}, {'state': ['eac'], 'rt': 56571}, {'state': ['eac', 'eca'], 'rt': 86779}]",0.2857142857142857
ADMKQPEWAO,2,syllogistic,multiple-choice,Some not;riders;counselors/Some;counselors;joggers,All;riders;joggers|All;joggers;riders|Some;riders;joggers|Some;joggers;riders|No;riders;joggers|No;joggers;riders|Some not;riders;joggers|Some not;joggers;riders|NVC,Some;riders;joggers|Some;joggers;riders|Some not;riders;joggers|Some not;joggers;riders,False,False,OI1,"['riders', 'counselors', 'joggers']","['iac', 'ica', 'oac', 'oca']",27717,"[{'state': ['iac'], 'rt': 16959}, {'state': ['iac', 'ica'], 'rt': 22342}, {'state': ['iac', 'ica', 'oac'], 'rt': 25476}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 26654}]",0.2857142857142857
ADMKQPEWAO,3,syllogistic,multiple-choice,All;managers;waiters/All;waiters;brokers,All;managers;brokers|All;brokers;managers|Some;managers;brokers|Some;brokers;managers|No;managers;brokers|No;brokers;managers|Some not;managers;brokers|Some not;brokers;managers|NVC,All;managers;brokers|All;brokers;managers,False,False,AA1,"['managers', 'waiters', 'brokers']","['aac', 'aca']",13437,"[{'state': ['aac'], 'rt': 6398}, {'state': ['aac', 'aca'], 'rt': 8709}]",0.2857142857142857
ADMKQPEWAO,4,syllogistic,multiple-choice,All;mayors;cleaners/No;models;cleaners,All;mayors;models|All;models;mayors|Some;mayors;models|Some;models;mayors|No;mayors;models|No;models;mayors|Some not;mayors;models|Some not;models;mayors|NVC,NVC,False,False,AE3,"['mayors', 'cleaners', 'models']",['nvc'],38795,"[{'state': ['nvc'], 'rt': 38120}]",0.2857142857142857
ADMKQPEWAO,5,syllogistic,multiple-choice,All;boxers;dancers/No;typists;boxers,All;dancers;typists|All;typists;dancers|Some;dancers;typists|Some;typists;dancers|No;dancers;typists|No;typists;dancers|Some not;dancers;typists|Some not;typists;dancers|NVC,No;dancers;typists|No;typists;dancers,False,False,AE2,"['dancers', 'boxers', 'typists']","['eac', 'eca']",34475,"[{'state': ['eca'], 'rt': 25807}, {'state': ['eac', 'eca'], 'rt': 28069}]",0.2857142857142857
ADMKQPEWAO,6,syllogistic,multiple-choice,Some not;carpenters;tellers/Some;artists;tellers,All;carpenters;artists|All;artists;carpenters|Some;carpenters;artists|Some;artists;carpenters|No;carpenters;artists|No;artists;carpenters|Some not;carpenters;artists|Some not;artists;carpenters|NVC,Some;carpenters;artists|Some;artists;carpenters|Some not;carpenters;artists|Some not;artists;carpenters,False,False,OI3,"['carpenters', 'tellers', 'artists']","['iac', 'ica', 'oac', 'oca']",12369,"[{'state': ['iac'], 'rt': 7851}, {'state': ['iac', 'ica'], 'rt': 8873}, {'state': ['iac', 'ica', 'oac'], 'rt': 9620}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 10310}]",0.2857142857142857
ADMKQPEWAO,7,syllogistic,multiple-choice,All;planners;doctors/Some;typists;planners,All;doctors;typists|All;typists;doctors|Some;doctors;typists|Some;typists;doctors|No;doctors;typists|No;typists;doctors|Some not;doctors;typists|Some not;typists;doctors|NVC,Some;doctors;typists|Some;typists;doctors|Some not;doctors;typists|Some not;typists;doctors,False,False,AI2,"['doctors', 'planners', 'typists']","['iac', 'ica', 'oac', 'oca']",22073,"[{'state': ['iac'], 'rt': 6180}, {'state': ['iac', 'ica'], 'rt': 7301}, {'state': ['iac', 'ica', 'oac'], 'rt': 17567}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 18203}]",0.2857142857142857
ADMKQPEWAO,8,syllogistic,multiple-choice,Some;campers;engineers/All;fencers;engineers,All;campers;fencers|All;fencers;campers|Some;campers;fencers|Some;fencers;campers|No;campers;fencers|No;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|NVC,Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers,False,False,IA3,"['campers', 'engineers', 'fencers']","['iac', 'ica', 'oac', 'oca']",19740,"[{'state': ['oca'], 'rt': 14629}, {'state': ['oac', 'oca'], 'rt': 15130}, {'state': ['iac', 'oac', 'oca'], 'rt': 16765}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 17449}]",0.2857142857142857
ADMKQPEWAO,9,syllogistic,multiple-choice,Some;farmers;assistants/No;assistants;scholars,All;farmers;scholars|All;scholars;farmers|Some;farmers;scholars|Some;scholars;farmers|No;farmers;scholars|No;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers|NVC,Some;farmers;scholars|Some;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers,False,False,IE1,"['farmers', 'assistants', 'scholars']","['iac', 'ica', 'oac', 'oca']",52279,"[{'state': ['iac'], 'rt': 48426}, {'state': ['iac', 'ica'], 'rt': 49440}, {'state': ['iac', 'ica', 'oca'], 'rt': 50652}, {'state': ['iac', 'ica', 'oac', 'oca'], 'rt': 51372}]",0.2857142857142857
ADMKQPEWAO,10,syllogistic,multiple-choice,All;drivers;pilots/Some not;butchers;pilots,All;drivers;butchers|All;butchers;drivers|Some;drivers;butchers|Some;butchers;drivers|No;drivers;butchers|No;butchers;drivers|Some not;drivers;butchers|Some not;butchers;drivers|NVC,NVC,False,False,AO3,"['drivers', 'pilots', 'butchers']",['nvc'],9866,"[{'state': ['nvc'], 'rt': 9177}]",0.2857142857142857
